"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",
393.19974343406,-72.10219886493899785,353.64666678455,-70.8896092036110016,326.51570390035,-81.07784874778499755,288.70267440337,-59.2225902391489993,259.95120193679,-69.8077556528759825,343.57104332498,-63.64482629405600255,222.41071252979,-74.14634060618598665,349.66928692511,-76.5763941919690009,365.01214265639,-68.85887371433898325,307.44854373636,-85.1702007304169795
407.34402048506,-63.25020383838099725,372.51430567095,-61.7199600766950025,333.25992104311,-88.4623522945269936,292.7221943926,-61.86451277331700255,263.97072530323,-81.9350155378149905,368.40842667984,-68.48322533359399225,226.43899917176,-70.77408960905498225,354.42884485002,-72.32020186865599925,369.0316659648,-70.09566145943000465,312.69657141491,-77.8195505384389886
426.50857742819,-67.30263955090200035,385.00995085387,-71.3287770275420028,339.49043770696,-74.1074058877699994,299.4290209468,-60.222425290022002,271.58112549909,-71.33795116784099805,375.5675014847,-71.1229488699179908,233.16690201407,-68.86129805830199715,358.44836607873,-74.2987756905469891,376.33364377364,-59.7731528940639974,323.33254246444,-68.7796201622119836
430.52810098731,-66.722221469915979,406.30186777189,-69.10874623550600375,358.48868510036,-72.8047489644909828,303.44854093645,-61.96671518335499205,285.21967241431,-73.48442047361800155,405.18984876436,-68.51378895118997975,250.94730900259,-68.85904885378999975,362.48868555058,-82.61956814525800015,389.9479093094,-55.7049918358350024,360.10324595813,-71.3585216188670014
451.62589215667,-67.7097178867369959,417.43184686004,-60.1278637326140026,369.62294942256,-77.897380650352005,308.69656861364,-53.21001837721999535,290.52360497312,-73.9483718905609916,412.8348204917,-57.2218452413039953,254.96682898956,-74.35890671797397975,367.72204721171,-72.45420154024699825,396.33809954639,-72.40380988574798925,364.12276594986,-71.27080740659400215
457.30327149222,-69.1647615454639888,421.45136686238,-61.8407513620569913,373.64246940927,-73.7174065228279855,314.4382210883,-69.1966373214889924,311.37355588596,-74.40225393059998235,416.85434196812,-73.5872869822059951,316.95508508791,-81.6385553738899998,382.14532054816,-81.0311627557040023,400.35761955663,-54.99731241717400095,369.01214803964,-68.9086654296319804
485.92218374676,-69.42212931818099235,430.50857873884,-59.39929657543800065,379.05773304251,-67.92784849404199555,319.37355631315,-55.12550338425099005,323.52750136575,-79.48889118641798715,426.98967602921,-62.63009040405199785,320.97460748906,-75.0204557666060051,387.4577786136,-73.82780038477298455,404.80544197035,-59.0567465770839985,373.03166882771,-96.110544282597004
499.5211345089,-64.66715383693298215,434.52810230342,-70.48707165300498875,384.76623597887,-77.72238881635300315,325.36080983482,-55.2948896225040014,327.54702135311,-70.6294696547319913,449.44912593799,-65.70536906423299655,341.64976327667,-68.63318172018000465,395.27072236286,-93.3937093261600063,409.18984940586,-74.0648956814529809,377.64247029924,-68.99181525112098215
503.94532432621,-73.0537672072079825,438.97311639118,-64.06988334354898005,388.78575596559,-69.52126149673699705,332.40234541807,-63.59277686961999605,333.58736716437,-76.4214966727620035,462.25649053397,-61.651085097972995,345.66928567788,-82.02574990367199315,410.94666570044,-80.80437081384798125,440.00571229867,-56.5217320774049907,381.77860558606,-68.51943469365798455
524.14091843117,-68.9500516440070041,465.18832676663,-74.16766056792098965,396.7859212714,-70.06538993465699125,336.42186817114,-58.34670025767699975,350.42884458639,-72.4574514932419898,474.48982616199,-69.4037701747020035,356.21592373921,-74.27747656111398535,415.50558318667,-65.85547030059899475,467.84898243315,-64.51292129526999,386.14532104017,-72.9959622631500051
528.16043843261,-73.14758121992500125,483.8469947912,-63.74389870242899275,400.80544125812,-72.2005524508099936,376.06194973838,-61.57301852049599205,354.44836581301,-81.1263978294410034,487.19986343366,-64.8614374307369983,373.75908384776,-72.39744549049498765,420.29534663002,-78.42093004600400235,482.75681763249,-75.2455553252089825,391.45777910869,-70.0467674875199859
542.38415695174,-64.7106465091119956,508.61916228672,-68.8069606417670056,407.93617010851,-71.4594350449019939,399.76237275735,-54.74731253616700125,385.27113749217,-69.56044637084599425,491.21938544872,-64.82244417642900175,377.778603835,-69.1557298154019973,427.20694291741,-68.7448296865519805,486.77634153642,-60.587196759221001,397.19974611859,-72.31609945193397915
550.55552194497,-66.880235765980984,531.8074324651,-65.96815285958800215,420.74293649675,-79.7708779094610061,406.00399599754,-50.93867516010399735,389.29065747971,-78.1445048863359939,498.77634513644,-59.33954544917699515,393.60194703333,-69.5425189267259893,443.82957013995,-69.2216558266160005,491.19986447432,-55.11961545543799425,403.27072403961,-75.33957013603497855
555.53428492864,-64.02061394000997985,540.52674144821,-60.9304723208419998,436.07323823836,-87.2949682856219906,411.4963705912,-57.65350128357400175,393.94791257355,-80.6461948656040019,516.94265197065,-61.60170942345399655,403.96222514872,-72.8918687653099935,464.13289717188,-75.53536212854299915,503.64019312404,-61.0768878593849959,407.76237659708,-65.6289088162419885
566.95554269525,-65.569736187551001,546.23490838427,-67.3946939993570024,440.09275822509,-72.2467551790199988,429.71198479746,-60.4878105249419915,399.27072329058,-69.50029963294198835,520.96217196669,-61.4791833829309976,421.15108508473,-73.9499383793339856,471.48555964267,-71.7788576527489963,509.67881812983,-58.635114918387998,411.93617104656,-71.11181384994898705
576.06735342004,-82.10151341307599155,550.75580256431,-69.13908045504498975,447.090862191,-76.1838417738869961,443.09085790863,-60.5535780237709955,403.76237584251,-65.7096613793430035,526.41386853388,-62.3025514494590025,450.7635172466,-62.137508367054991,476.75387046089,-73.691410908992992,514.66601523171,-60.53864531307100065,416.83482191574,-79.7768722626659891
580.0868755715,-65.61698514219798975,564.47963087836,-73.01505891162298635,454.39501200671,-77.35988038641198705,447.1103826543,-69.1777875716049945,407.96222651079,-76.04694284798600255,531.05898320204,-62.2645559659730023,454.78303723416,-66.85781209725800505,495.09207318548,-77.5401829159779934,545.53518985297,-66.2385740115049939,420.85434339409,-73.5340697445639929
